CMDLINE /usr/bin/python3.5 comparison.py
MEM 3.902344 1498162199.4907
MEM 16.546875 1498162199.5911
MEM 168.988281 1498162199.6915
MEM 722.988281 1498162199.7919
MEM 1228.871094 1498162199.8924
MEM 1756.753906 1498162199.9929
MEM 2232.753906 1498162200.0934
MEM 2367.128906 1498162200.1938
MEM 2445.835938 1498162200.2942
MEM 2614.246094 1498162200.3946
MEM 2900.246094 1498162200.4951
MEM 3188.246094 1498162200.5955
MEM 3634.128906 1498162200.6960
MEM 3363.187500 1498162200.7964
MEM 3853.187500 1498162200.8969
MEM 4338.011719 1498162200.9974
MEM 4031.968750 1498162201.0979
MEM 4498.128906 1498162201.1985
MEM 4058.425781 1498162201.2990
MEM 1836.972656 1498162201.3995
MEM 1550.859375 1498162201.4998
MEM 1550.859375 1498162201.6003
MEM 1550.859375 1498162201.7009
MEM 1550.859375 1498162201.8016
MEM 1550.859375 1498162201.9023
MEM 1550.859375 1498162202.0030
MEM 1550.859375 1498162202.1037
MEM 1550.859375 1498162202.2044
MEM 1550.859375 1498162202.3051
MEM 1550.859375 1498162202.4059
MEM 1550.859375 1498162202.5066
MEM 1550.859375 1498162202.6073
MEM 1550.859375 1498162202.7080
MEM 1550.859375 1498162202.8087
MEM 1550.859375 1498162202.9094
MEM 1550.859375 1498162203.0101
MEM 1550.859375 1498162203.1108
MEM 1550.859375 1498162203.2114
MEM 1550.859375 1498162203.3119
MEM 1550.859375 1498162203.4125
MEM 1550.859375 1498162203.5132
MEM 1550.859375 1498162203.6139
MEM 1550.859375 1498162203.7146
MEM 1550.859375 1498162203.8153
MEM 1550.859375 1498162203.9160
MEM 1550.859375 1498162204.0167
MEM 1550.859375 1498162204.1175
MEM 1550.859375 1498162204.2182
MEM 1550.859375 1498162204.3190
MEM 1560.859375 1498162204.4197
MEM 1794.937500 1498162204.5202
MEM 2246.937500 1498162204.6723
MEM 2387.250000 1498162204.7727
