CMDLINE /usr/bin/python3.5 comparison.py
MEM 3.871094 1498162528.1765
MEM 18.437500 1498162528.2769
MEM 334.191406 1498162528.3773
MEM 880.074219 1498162528.4778
MEM 1406.074219 1498162528.5782
MEM 1550.566406 1498162528.6787
MEM 1550.566406 1498162528.7791
MEM 1550.566406 1498162528.8796
MEM 1550.566406 1498162528.9802
MEM 1550.566406 1498162529.0809
MEM 1550.566406 1498162529.1816
MEM 1550.566406 1498162529.2822
MEM 1550.566406 1498162529.3828
MEM 1550.566406 1498162529.4835
MEM 1550.566406 1498162529.5842
MEM 1550.566406 1498162529.6849
MEM 1550.566406 1498162529.7856
MEM 1550.566406 1498162529.8862
MEM 1550.566406 1498162529.9869
MEM 1550.566406 1498162530.0876
MEM 1550.566406 1498162530.1882
MEM 1550.566406 1498162530.2888
MEM 1550.566406 1498162530.3895
MEM 1550.566406 1498162530.4901
MEM 1550.566406 1498162530.5907
MEM 1765.957031 1498162530.6912
MEM 2117.957031 1498162530.7916
MEM 2346.296875 1498162530.8920
MEM 2404.296875 1498162530.9924
MEM 2504.316406 1498162531.0929
MEM 2727.449219 1498162531.1936
MEM 2991.449219 1498162531.2940
MEM 3268.238281 1498162531.3944
MEM 3749.332031 1498162531.4950
MEM 3420.390625 1498162531.5955
MEM 3890.390625 1498162531.6960
MEM 4377.214844 1498162531.7965
MEM 4079.273438 1498162531.8970
MEM 4557.332031 1498162531.9975
MEM 4069.531250 1498162532.0979
MEM 1550.937500 1498162532.1984
MEM 1550.937500 1498162532.2991
MEM 1550.937500 1498162532.3998
MEM 1550.937500 1498162532.5005
MEM 1550.937500 1498162532.6011
MEM 1550.937500 1498162532.7019
MEM 1550.937500 1498162532.8024
MEM 1550.937500 1498162532.9032
MEM 1550.937500 1498162533.0038
MEM 1550.937500 1498162533.1044
MEM 1550.937500 1498162533.2052
MEM 1550.937500 1498162533.3062
MEM 1550.937500 1498162533.4067
MEM 1550.937500 1498162533.5072
MEM 1550.937500 1498162533.6078
MEM 1550.937500 1498162533.7083
MEM 1550.937500 1498162533.8089
MEM 1550.937500 1498162533.9095
MEM 1550.937500 1498162534.0100
MEM 1550.937500 1498162534.1106
MEM 1588.019531 1498162534.2112
MEM 1842.140625 1498162534.3117
MEM 2152.140625 1498162534.4121
MEM 2362.402344 1498162534.5125
MEM 1550.996094 1498162534.6130
MEM 1550.996094 1498162534.7135
MEM 1550.996094 1498162534.8144
MEM 1550.996094 1498162534.9152
MEM 1550.996094 1498162535.0158
MEM 1550.996094 1498162535.1164
MEM 1550.996094 1498162535.2172
MEM 1550.996094 1498162535.3178
MEM 1550.996094 1498162535.4182
MEM 1550.996094 1498162535.5186
MEM 1550.996094 1498162535.6191
MEM 1550.996094 1498162535.7195
MEM 1550.996094 1498162535.8200
MEM 1550.996094 1498162535.9204
MEM 1550.996094 1498162536.0210
MEM 1550.996094 1498162536.1215
MEM 1550.996094 1498162536.2222
MEM 1550.996094 1498162536.3229
MEM 1550.996094 1498162536.4236
MEM 1550.996094 1498162536.5240
MEM 1550.996094 1498162536.6246
MEM 1550.996094 1498162536.7253
MEM 1550.996094 1498162536.8260
MEM 1550.996094 1498162536.9266
MEM 1550.996094 1498162537.0271
MEM 1550.996094 1498162537.1279
MEM 1550.996094 1498162537.2285
MEM 1550.996094 1498162537.3291
MEM 1550.996094 1498162537.4299
MEM 1550.996094 1498162537.5305
