CMDLINE /usr/bin/python3.5 comparison.py
MEM 8.992188 1498162458.2920
MEM 22.277344 1498162458.3924
MEM 432.285156 1498162458.4928
MEM 988.167969 1498162458.5933
MEM 1508.167969 1498162458.6938
MEM 1862.113281 1498162458.7943
MEM 2212.113281 1498162458.8948
MEM 2388.476562 1498162458.9952
MEM 1551.000000 1498162459.0955
MEM 1551.000000 1498162459.1958
MEM 1551.000000 1498162459.2962
MEM 1551.000000 1498162459.3966
MEM 1551.000000 1498162459.4973
MEM 1551.000000 1498162459.5980
MEM 1551.000000 1498162459.6987
MEM 1551.000000 1498162459.7994
MEM 1551.000000 1498162459.9001
MEM 1551.000000 1498162460.0008
MEM 1551.000000 1498162460.1014
MEM 1551.000000 1498162460.2022
MEM 1551.000000 1498162460.3028
MEM 1551.000000 1498162460.4034
MEM 1551.000000 1498162460.5040
MEM 1551.000000 1498162460.6047
MEM 1551.000000 1498162460.7053
MEM 1551.000000 1498162460.8059
MEM 1551.000000 1498162460.9066
MEM 1551.000000 1498162461.0072
MEM 1551.000000 1498162461.1078
MEM 1551.000000 1498162461.2085
MEM 1551.000000 1498162461.3091
MEM 1551.000000 1498162461.4095
MEM 1551.000000 1498162461.5100
MEM 1551.000000 1498162461.6107
MEM 1551.000000 1498162461.7110
MEM 1551.000000 1498162461.8117
MEM 1551.000000 1498162461.9124
MEM 1551.000000 1498162462.0130
